surface_id	family	kind	state	source_keys	capture_selector	status	baseline_evidence	source_and_journey_review	visual_review	findings_and_changes	final_evidence
organization.journey.tag-archived	organization	page	Archived search and original Tag identity survive recreation	route:organization-native-tag-archived	com.whip.app.OrganizationJourneyE2ETest#tagChangesKeepEveryDomainAndSavedHistoryThroughRecreation	Verified	8d0f890; BUvOGZ catalog and 1WCnaA unchanged-production native journeys; root duplicates personally inspected.	TagManagementDialog, WhipManagementHeader and exact mutation coordinator/repository policies. Real Settings route, create/rename/archive/search/restore/merge/reopen and Activity recreation; all four domain references, Task completion and exact Habit/measurement history preserved.	Search reveals the same archived Tag after recreation, preserving its long name, complete usage and Restore action. Final phone and wide originals personally reviewed.	FND-20260910-020; DEC/IMP-20260910-013. Shared header and earlier content; exact domain operations retained. Whole-product acceptance remains open.	VER-20260910-013; artifacts/astra-audit/2026-09-10/organization/README.md; 51 API 34, four API 37, 371 JVM readiness.
organization.journey.tag-merge	organization	dialog	Selected merge destination survives recreation	route:organization-native-tag-merge	com.whip.app.OrganizationJourneyE2ETest#tagChangesKeepEveryDomainAndSavedHistoryThroughRecreation	Verified	8d0f890; BUvOGZ catalog and 1WCnaA unchanged-production native journeys; root duplicates personally inspected.	TagManagementDialog, WhipManagementHeader and exact mutation coordinator/repository policies. Real Settings route, create/rename/archive/search/restore/merge/reopen and Activity recreation; all four domain references, Task completion and exact Habit/measurement history preserved.	Reviewed merge destination remains selected after recreation; source replacement, removal and preserved item history are explicit. Final phone and wide originals personally reviewed.	FND-20260910-020; DEC/IMP-20260910-013. Shared header and earlier content; exact domain operations retained. Whole-product acceptance remains open.	VER-20260910-013; artifacts/astra-audit/2026-09-10/organization/README.md; 51 API 34, four API 37, 371 JVM readiness.
organization.journey.tag-merged	organization	page	One merged Tag retains references and saved history	route:organization-native-tag-merged	com.whip.app.OrganizationJourneyE2ETest#tagChangesKeepEveryDomainAndSavedHistoryThroughRecreation	Verified	8d0f890; BUvOGZ catalog and 1WCnaA unchanged-production native journeys; root duplicates personally inspected.	TagManagementDialog, WhipManagementHeader and exact mutation coordinator/repository policies. Real Settings route, create/rename/archive/search/restore/merge/reopen and Activity recreation; all four domain references, Task completion and exact Habit/measurement history preserved.	The surviving Practices label carries all four references after the real merge; saved history remains equal. Final phone and wide originals personally reviewed.	FND-20260910-020; DEC/IMP-20260910-013. Shared header and earlier content; exact domain operations retained. Whole-product acceptance remains open.	VER-20260910-013; artifacts/astra-audit/2026-09-10/organization/README.md; 51 API 34, four API 37, 371 JVM readiness.
organization.journey.areas	organization	page	Native Area root with assigned long-name project	route:organization-native-areas	com.whip.app.OrganizationJourneyE2ETest#areaIdentityAndRenameDraftSurviveTheRealManagerJourney	Verified	8d0f890; BUvOGZ catalog and 1WCnaA unchanged-production native journeys; root duplicates personally inspected.	AreaManagementDialog and shared header. Real root/detail/long rename, unsaved draft recreation, Back/Close/reopen and assigned Task/Area identity preservation. Complete Area lifecycle operations remain open.	Root Areas has one header, complete explanation, concise active count, reorder and earlier named records. Final phone and wide originals personally reviewed.	FND-20260910-020; DEC/IMP-20260910-013. Shared header and earlier content; exact domain operations retained. Whole-product acceptance remains open.	VER-20260910-013; artifacts/astra-audit/2026-09-10/organization/README.md; 51 API 34, four API 37, 371 JVM readiness.
organization.journey.area-detail	organization	page	Selected Area identity and original assignment	route:organization-native-area-detail	com.whip.app.OrganizationJourneyE2ETest#areaIdentityAndRenameDraftSurviveTheRealManagerJourney	Verified	8d0f890; BUvOGZ catalog and 1WCnaA unchanged-production native journeys; root duplicates personally inspected.	AreaManagementDialog and shared header. Real root/detail/long rename, unsaved draft recreation, Back/Close/reopen and assigned Task/Area identity preservation. Complete Area lifecycle operations remain open.	Selected Area retains original title, assignment count, leading Back and trailing Close above existing action sections. Final phone and wide originals personally reviewed.	FND-20260910-020; DEC/IMP-20260910-013. Shared header and earlier content; exact domain operations retained. Whole-product acceptance remains open.	VER-20260910-013; artifacts/astra-audit/2026-09-10/organization/README.md; 51 API 34, four API 37, 371 JVM readiness.
organization.journey.area-renamed	organization	page	Recreated rename persists long Area identity and assignment	route:organization-native-area-renamed	com.whip.app.OrganizationJourneyE2ETest#areaIdentityAndRenameDraftSurviveTheRealManagerJourney	Verified	8d0f890; BUvOGZ catalog and 1WCnaA unchanged-production native journeys; root duplicates personally inspected.	AreaManagementDialog and shared header. Real root/detail/long rename, unsaved draft recreation, Back/Close/reopen and assigned Task/Area identity preservation. Complete Area lifecycle operations remain open.	Long renamed Area remains complete; usage has its own full-width line and Move 1 Item uses the correct singular. Final phone and wide originals personally reviewed.	FND-20260910-020; DEC/IMP-20260910-013. Shared header and earlier content; exact domain operations retained. Whole-product acceptance remains open.	VER-20260910-013; artifacts/astra-audit/2026-09-10/organization/README.md; 51 API 34, four API 37, 371 JVM readiness.
goals.progress.home	goals	page	Small saved Goal progress is visible in Home	route:goal-progress-home	com.whip.app.GoalProgressJourneyE2ETest#smallProgressStaysVisibleThroughHomeDetailsAndArchivedHistory	Verified	3b85774; wcmZsG reproduces percentage truncation on unchanged production Home/collection.	GoalProgressPresentation and eight GoalScreens consumers. Real Home/Goal cards, inspector/trend/recreation, Insights, abandon/closure/archive/recreation; exact saved snapshot equality. Endpoint method distinguishes tiny/near/zero/complete; elapsed/milestone neighbors pass.	Home retains a visible 0.5% Goal summary beside the familiar quick progress action. Nine phone and nine wide final originals reviewed; shared wide reading measure remains open.	FND-20260910-019; DEC/IMP-20260910-012. Domain calculations and shared layouts retained; whole-product acceptance remains open.	VER-20260910-012; artifacts/astra-audit/2026-09-10/goal-percent/README.md; 69 API 34, nine API 37, 371 JVM readiness.
goals.progress.expanded	goals	page	Expanded Goal card retains one readable fractional progress label	route:goal-progress-expanded	com.whip.app.GoalProgressJourneyE2ETest#smallProgressStaysVisibleThroughHomeDetailsAndArchivedHistory	Verified	3b85774; wcmZsG reproduces percentage truncation on unchanged production Home/collection.	GoalProgressPresentation and eight GoalScreens consumers. Real Home/Goal cards, inspector/trend/recreation, Insights, abandon/closure/archive/recreation; exact saved snapshot equality. Endpoint method distinguishes tiny/near/zero/complete; elapsed/milestone neighbors pass.	The shared productivity builder shows one complete progress label, bar, actual measurement and final Edit action without duplicate summary. Nine phone and nine wide final originals reviewed; shared wide reading measure remains open.	FND-20260910-019; DEC/IMP-20260910-012. Domain calculations and shared layouts retained; whole-product acceptance remains open.	VER-20260910-012; artifacts/astra-audit/2026-09-10/goal-percent/README.md; 69 API 34, nine API 37, 371 JVM readiness.
goals.progress.overview	goals	dialog	Goal inspector shows small positive progress	route:goal-progress-overview	com.whip.app.GoalProgressJourneyE2ETest#smallProgressStaysVisibleThroughHomeDetailsAndArchivedHistory	Verified	3b85774; wcmZsG reproduces percentage truncation on unchanged production Home/collection.	GoalProgressPresentation and eight GoalScreens consumers. Real Home/Goal cards, inspector/trend/recreation, Insights, abandon/closure/archive/recreation; exact saved snapshot equality. Endpoint method distinguishes tiny/near/zero/complete; elapsed/milestone neighbors pass.	Goal inspector outcome reads 0.5%; original measurement precision and Record Progress action remain intact. Nine phone and nine wide final originals reviewed; shared wide reading measure remains open.	FND-20260910-019; DEC/IMP-20260910-012. Domain calculations and shared layouts retained; whole-product acceptance remains open.	VER-20260910-012; artifacts/astra-audit/2026-09-10/goal-percent/README.md; 69 API 34, nine API 37, 371 JVM readiness.
goals.progress.trend-table	goals	dialog	Accessible trend data retains fractional progress after recreation	route:goal-progress-trend-table	com.whip.app.GoalProgressJourneyE2ETest#smallProgressStaysVisibleThroughHomeDetailsAndArchivedHistory	Verified	3b85774; wcmZsG reproduces percentage truncation on unchanged production Home/collection.	GoalProgressPresentation and eight GoalScreens consumers. Real Home/Goal cards, inspector/trend/recreation, Insights, abandon/closure/archive/recreation; exact saved snapshot equality. Endpoint method distinguishes tiny/near/zero/complete; elapsed/milestone neighbors pass.	The accessible trend row retains progress 0.5% after Activity recreation with date, actual value and update count. Nine phone and nine wide final originals reviewed; shared wide reading measure remains open.	FND-20260910-019; DEC/IMP-20260910-012. Domain calculations and shared layouts retained; whole-product acceptance remains open.	VER-20260910-012; artifacts/astra-audit/2026-09-10/goal-percent/README.md; 69 API 34, nine API 37, 371 JVM readiness.
goals.progress.insights	goals	page	Goal Insights uses the same percentage meaning	route:goal-progress-insights	com.whip.app.GoalProgressJourneyE2ETest#smallProgressStaysVisibleThroughHomeDetailsAndArchivedHistory	Verified	3b85774; wcmZsG reproduces percentage truncation on unchanged production Home/collection.	GoalProgressPresentation and eight GoalScreens consumers. Real Home/Goal cards, inspector/trend/recreation, Insights, abandon/closure/archive/recreation; exact saved snapshot equality. Endpoint method distinguishes tiny/near/zero/complete; elapsed/milestone neighbors pass.	Goal Insights shows the same 0.5% with the saved observation; the record opens the original inspector. Nine phone and nine wide final originals reviewed; shared wide reading measure remains open.	FND-20260910-019; DEC/IMP-20260910-012. Domain calculations and shared layouts retained; whole-product acceptance remains open.	VER-20260910-012; artifacts/astra-audit/2026-09-10/goal-percent/README.md; 69 API 34, nine API 37, 371 JVM readiness.
goals.progress.closure	goals	dialog	Abandoned Goal history preserves the fractional closure outcome	route:goal-progress-closure	com.whip.app.GoalProgressJourneyE2ETest#smallProgressStaysVisibleThroughHomeDetailsAndArchivedHistory	Verified	3b85774; wcmZsG reproduces percentage truncation on unchanged production Home/collection.	GoalProgressPresentation and eight GoalScreens consumers. Real Home/Goal cards, inspector/trend/recreation, Insights, abandon/closure/archive/recreation; exact saved snapshot equality. Endpoint method distinguishes tiny/near/zero/complete; elapsed/milestone neighbors pass.	Abandoned Goal history preserves 0.5% progress and the original closure outcome; ordinary history controls remain reachable. Nine phone and nine wide final originals reviewed; shared wide reading measure remains open.	FND-20260910-019; DEC/IMP-20260910-012. Domain calculations and shared layouts retained; whole-product acceptance remains open.	VER-20260910-012; artifacts/astra-audit/2026-09-10/goal-percent/README.md; 69 API 34, nine API 37, 371 JVM readiness.
goals.progress.archived-history	goals	dialog	Archive and recreation preserve the saved fractional closure	route:goal-progress-archived-history	com.whip.app.GoalProgressJourneyE2ETest#smallProgressStaysVisibleThroughHomeDetailsAndArchivedHistory	Verified	3b85774; wcmZsG reproduces percentage truncation on unchanged production Home/collection.	GoalProgressPresentation and eight GoalScreens consumers. Real Home/Goal cards, inspector/trend/recreation, Insights, abandon/closure/archive/recreation; exact saved snapshot equality. Endpoint method distinguishes tiny/near/zero/complete; elapsed/milestone neighbors pass.	Archived history preserves the same closure after Activity recreation; archive context and source identity remain visible. Nine phone and nine wide final originals reviewed; shared wide reading measure remains open.	FND-20260910-019; DEC/IMP-20260910-012. Domain calculations and shared layouts retained; whole-product acceptance remains open.	VER-20260910-012; artifacts/astra-audit/2026-09-10/goal-percent/README.md; 69 API 34, nine API 37, 371 JVM readiness.
goals.progress.endpoints	goals	page	Tiny and nearly complete progress remain distinct from zero and complete	route:goal-progress-endpoints	com.whip.app.GoalProgressJourneyE2ETest#tinyAndNearlyCompleteGoalsRemainDistinctFromTheirEndpoints	Verified	3b85774; wcmZsG reproduces percentage truncation on unchanged production Home/collection.	GoalProgressPresentation and eight GoalScreens consumers. Real Home/Goal cards, inspector/trend/recreation, Insights, abandon/closure/archive/recreation; exact saved snapshot equality. Endpoint method distinguishes tiny/near/zero/complete; elapsed/milestone neighbors pass.	Four collection cards distinguish a tiny beginning, nearly reached target, exact zero and exact target as <0.1%, >99.9%, 0% and 100%. Nine phone and nine wide final originals reviewed; shared wide reading measure remains open.	FND-20260910-019; DEC/IMP-20260910-012. Domain calculations and shared layouts retained; whole-product acceptance remains open.	VER-20260910-012; artifacts/astra-audit/2026-09-10/goal-percent/README.md; 69 API 34, nine API 37, 371 JVM readiness.
goals.progress.near-target	goals	dialog	Nearly reached Goal retains truthful progress after recreation	route:goal-progress-near-target	com.whip.app.GoalProgressJourneyE2ETest#tinyAndNearlyCompleteGoalsRemainDistinctFromTheirEndpoints	Verified	3b85774; wcmZsG reproduces percentage truncation on unchanged production Home/collection.	GoalProgressPresentation and eight GoalScreens consumers. Real Home/Goal cards, inspector/trend/recreation, Insights, abandon/closure/archive/recreation; exact saved snapshot equality. Endpoint method distinguishes tiny/near/zero/complete; elapsed/milestone neighbors pass.	Recreated original inspector says >99.9% and retains Active status; display rounding does not invent completion. Nine phone and nine wide final originals reviewed; shared wide reading measure remains open.	FND-20260910-019; DEC/IMP-20260910-012. Domain calculations and shared layouts retained; whole-product acceptance remains open.	VER-20260910-012; artifacts/astra-audit/2026-09-10/goal-percent/README.md; 69 API 34, nine API 37, 371 JVM readiness.
shared.review.empty-selection	shared	dialog	Current Review selection is empty despite retained outcomes elsewhere	route:review-empty-selection	com.whip.app.ReviewJourneyE2ETest#changingReviewOptionsRevealsSavedOutcomesWithoutLosingTheView	Verified	f1c95a6; lS1WSx reproduced false first-use copy. Matrix entry reconciled from committed VER-20260910-010 evidence; no new runtime claim.	Real saved current Task and archived older Habit; Weekly/Habits empty selection, include Tasks to reveal outcome, recreate, return to empty Habits, recreate/close/reopen preserving choices.	Scoped empty title and complete period/section guidance; no card-opening instruction when cards do not exist. Wide text remains a long centered measure under the existing shared empty-state layout.	FND-20260910-015; DEC/IMP-20260910-010. Honest selected-view guidance, no instruction to open absent cards. Whole-product acceptance remains open.	VER-20260910-010; artifacts/astra-audit/2026-09-10/review-scope/README.md; seven API 34, seven API 37, 364 JVM readiness; 11 original reviews.
shared.review.selection-outcomes	shared	dialog	Including Tasks reveals the recorded result	route:review-selection-outcomes	com.whip.app.ReviewJourneyE2ETest#changingReviewOptionsRevealsSavedOutcomesWithoutLosingTheView	Verified	f1c95a6; lS1WSx reproduced false first-use copy. Matrix entry reconciled from committed VER-20260910-010 evidence; no new runtime claim.	Real saved current Task and archived older Habit; Weekly/Habits empty selection, include Tasks to reveal outcome, recreate, return to empty Habits, recreate/close/reopen preserving choices.	Including Tasks reveals the exact one saved completion beside zero current Habit outcomes. Phone frame is scrolled and the Habit card continues below the viewport; wide frame shows both full cards.	FND-20260910-015; DEC/IMP-20260910-010. Honest selected-view guidance, no instruction to open absent cards. Whole-product acceptance remains open.	VER-20260910-010; artifacts/astra-audit/2026-09-10/review-scope/README.md; seven API 34, seven API 37, 364 JVM readiness; 11 original reviews.
shared.review.empty-selection-reopened	shared	dialog	Empty section selection survives Activity recreation and Review reopening	route:review-empty-selection-reopened	com.whip.app.ReviewJourneyE2ETest#changingReviewOptionsRevealsSavedOutcomesWithoutLosingTheView	Verified	f1c95a6; lS1WSx reproduced false first-use copy. Matrix entry reconciled from committed VER-20260910-010 evidence; no new runtime claim.	Real saved current Task and archived older Habit; Weekly/Habits empty selection, include Tasks to reveal outcome, recreate, return to empty Habits, recreate/close/reopen preserving choices.	Native empty selection survives Activity recreation, closing Review and reopening. Phone returns to the stable collapsed-options hierarchy; wide controls remain visible.	FND-20260910-015; DEC/IMP-20260910-010. Honest selected-view guidance, no instruction to open absent cards. Whole-product acceptance remains open.	VER-20260910-010; artifacts/astra-audit/2026-09-10/review-scope/README.md; seven API 34, seven API 37, 364 JVM readiness; 11 original reviews.
shared.review.outcomes-tasks	shared	dialog	Completed archived Task outcome list	route:review-outcomes-tasks	com.whip.app.ReviewOutcomeJourneyE2ETest#archivedTaskOutcomesOpenTheirOriginalTask	Verified	e5046e8; r2FrdV empty source destinations; Q3uppH destination context diagnostics	ReviewOutcomes/ReviewOutcomeDetails/ReviewAppRoute; shared WhipRecordItem; exact original routes, mixed recurring Area scope, recreation, scoped source recovery and normalized score. Existing domain calculations retained.	31 personally inspected original images include 12 final phone and 12 final wide states. Consistent reading order and bounded wide column. Original Goal percentage remains FND-20260910-019; this row certifies routing, not full Goal UX.	FND-20260910-016/017/018; DEC/IMP-20260910-011; whole-app acceptance remains open.	VER-20260910-011; artifacts/astra-audit/2026-09-10/review-outcomes/README.md; 202 API 34, 13 API 37, 368 JVM readiness.
shared.review.original-tasks	shared	dialog	Original archived Task opened from its Review outcome	route:review-original-tasks	com.whip.app.ReviewOutcomeJourneyE2ETest#archivedTaskOutcomesOpenTheirOriginalTask	Verified	e5046e8; r2FrdV empty source destinations; Q3uppH destination context diagnostics	ReviewOutcomes/ReviewOutcomeDetails/ReviewAppRoute; shared WhipRecordItem; exact original routes, mixed recurring Area scope, recreation, scoped source recovery and normalized score. Existing domain calculations retained.	31 personally inspected original images include 12 final phone and 12 final wide states. Consistent reading order and bounded wide column. Original Goal percentage remains FND-20260910-019; this row certifies routing, not full Goal UX.	FND-20260910-016/017/018; DEC/IMP-20260910-011; whole-app acceptance remains open.	VER-20260910-011; artifacts/astra-audit/2026-09-10/review-outcomes/README.md; 202 API 34, 13 API 37, 368 JVM readiness.
shared.review.outcomes-habits	shared	dialog	Successful archived Habit periods	route:review-outcomes-habits	com.whip.app.ReviewOutcomeJourneyE2ETest#archivedHabitOutcomesOpenTheirOriginalHabit	Verified	e5046e8; r2FrdV empty source destinations; Q3uppH destination context diagnostics	ReviewOutcomes/ReviewOutcomeDetails/ReviewAppRoute; shared WhipRecordItem; exact original routes, mixed recurring Area scope, recreation, scoped source recovery and normalized score. Existing domain calculations retained.	31 personally inspected original images include 12 final phone and 12 final wide states. Consistent reading order and bounded wide column. Original Goal percentage remains FND-20260910-019; this row certifies routing, not full Goal UX.	FND-20260910-016/017/018; DEC/IMP-20260910-011; whole-app acceptance remains open.	VER-20260910-011; artifacts/astra-audit/2026-09-10/review-outcomes/README.md; 202 API 34, 13 API 37, 368 JVM readiness.
shared.review.original-habits	shared	dialog	Archived Habit opens directly into History	route:review-original-habits	com.whip.app.ReviewOutcomeJourneyE2ETest#archivedHabitOutcomesOpenTheirOriginalHabit	Verified	e5046e8; r2FrdV empty source destinations; Q3uppH destination context diagnostics	ReviewOutcomes/ReviewOutcomeDetails/ReviewAppRoute; shared WhipRecordItem; exact original routes, mixed recurring Area scope, recreation, scoped source recovery and normalized score. Existing domain calculations retained.	31 personally inspected original images include 12 final phone and 12 final wide states. Consistent reading order and bounded wide column. Original Goal percentage remains FND-20260910-019; this row certifies routing, not full Goal UX.	FND-20260910-016/017/018; DEC/IMP-20260910-011; whole-app acceptance remains open.	VER-20260910-011; artifacts/astra-audit/2026-09-10/review-outcomes/README.md; 202 API 34, 13 API 37, 368 JVM readiness.
shared.review.outcomes-goals	shared	dialog	Small positive normalized Goal contribution	route:review-outcomes-goals	com.whip.app.ReviewOutcomeJourneyE2ETest#archivedGoalProgressOpensItsOriginalGoal	Verified	e5046e8; r2FrdV empty source destinations; Q3uppH destination context diagnostics	ReviewOutcomes/ReviewOutcomeDetails/ReviewAppRoute; shared WhipRecordItem; exact original routes, mixed recurring Area scope, recreation, scoped source recovery and normalized score. Existing domain calculations retained.	31 personally inspected original images include 12 final phone and 12 final wide states. Consistent reading order and bounded wide column. Original Goal percentage remains FND-20260910-019; this row certifies routing, not full Goal UX.	FND-20260910-016/017/018; DEC/IMP-20260910-011; whole-app acceptance remains open.	VER-20260910-011; artifacts/astra-audit/2026-09-10/review-outcomes/README.md; 202 API 34, 13 API 37, 368 JVM readiness.
shared.review.original-goals	shared	dialog	Original Goal with exact small saved measurement	route:review-original-goals	com.whip.app.ReviewOutcomeJourneyE2ETest#archivedGoalProgressOpensItsOriginalGoal	Verified	e5046e8; r2FrdV empty source destinations; Q3uppH destination context diagnostics	ReviewOutcomes/ReviewOutcomeDetails/ReviewAppRoute; shared WhipRecordItem; exact original routes, mixed recurring Area scope, recreation, scoped source recovery and normalized score. Existing domain calculations retained.	31 personally inspected original images include 12 final phone and 12 final wide states. Consistent reading order and bounded wide column. Original Goal percentage remains FND-20260910-019; this row certifies routing, not full Goal UX.	FND-20260910-016/017/018; DEC/IMP-20260910-011; whole-app acceptance remains open.	VER-20260910-011; artifacts/astra-audit/2026-09-10/review-outcomes/README.md; 202 API 34, 13 API 37, 368 JVM readiness.
shared.review.outcomes-gym	shared	dialog	Finished Workout outcomes	route:review-outcomes-gym	com.whip.app.ReviewOutcomeJourneyE2ETest#finishedWorkoutOutcomesOpenTheirOriginalSession	Verified	e5046e8; r2FrdV empty source destinations; Q3uppH destination context diagnostics	ReviewOutcomes/ReviewOutcomeDetails/ReviewAppRoute; shared WhipRecordItem; exact original routes, mixed recurring Area scope, recreation, scoped source recovery and normalized score. Existing domain calculations retained.	31 personally inspected original images include 12 final phone and 12 final wide states. Consistent reading order and bounded wide column. Original Goal percentage remains FND-20260910-019; this row certifies routing, not full Goal UX.	FND-20260910-016/017/018; DEC/IMP-20260910-011; whole-app acceptance remains open.	VER-20260910-011; artifacts/astra-audit/2026-09-10/review-outcomes/README.md; 202 API 34, 13 API 37, 368 JVM readiness.
shared.review.original-gym	shared	dialog	Exact original Workout and performed Set	route:review-original-gym	com.whip.app.ReviewOutcomeJourneyE2ETest#finishedWorkoutOutcomesOpenTheirOriginalSession	Verified	e5046e8; r2FrdV empty source destinations; Q3uppH destination context diagnostics	ReviewOutcomes/ReviewOutcomeDetails/ReviewAppRoute; shared WhipRecordItem; exact original routes, mixed recurring Area scope, recreation, scoped source recovery and normalized score. Existing domain calculations retained.	31 personally inspected original images include 12 final phone and 12 final wide states. Consistent reading order and bounded wide column. Original Goal percentage remains FND-20260910-019; this row certifies routing, not full Goal UX.	FND-20260910-016/017/018; DEC/IMP-20260910-011; whole-app acceptance remains open.	VER-20260910-011; artifacts/astra-audit/2026-09-10/review-outcomes/README.md; 202 API 34, 13 API 37, 368 JVM readiness.
shared.review.mixed-task-outcomes	shared	dialog	Active and archived recurring Work outcomes exclude Personal history	route:review-mixed-task-outcomes	com.whip.app.ReviewOutcomeJourneyE2ETest#mixedTaskHistoryKeepsAreaScopeAndDistinctOccurrences	Verified	e5046e8; r2FrdV empty source destinations; Q3uppH destination context diagnostics	ReviewOutcomes/ReviewOutcomeDetails/ReviewAppRoute; shared WhipRecordItem; exact original routes, mixed recurring Area scope, recreation, scoped source recovery and normalized score. Existing domain calculations retained.	31 personally inspected original images include 12 final phone and 12 final wide states. Consistent reading order and bounded wide column. Original Goal percentage remains FND-20260910-019; this row certifies routing, not full Goal UX.	FND-20260910-016/017/018; DEC/IMP-20260910-011; whole-app acceptance remains open.	VER-20260910-011; artifacts/astra-audit/2026-09-10/review-outcomes/README.md; 202 API 34, 13 API 37, 368 JVM readiness.
shared.review.original-current-task	shared	dialog	Original completed current Task from mixed Review history	route:review-original-current-task	com.whip.app.ReviewOutcomeJourneyE2ETest#mixedTaskHistoryKeepsAreaScopeAndDistinctOccurrences	Verified	e5046e8; r2FrdV empty source destinations; Q3uppH destination context diagnostics	ReviewOutcomes/ReviewOutcomeDetails/ReviewAppRoute; shared WhipRecordItem; exact original routes, mixed recurring Area scope, recreation, scoped source recovery and normalized score. Existing domain calculations retained.	31 personally inspected original images include 12 final phone and 12 final wide states. Consistent reading order and bounded wide column. Original Goal percentage remains FND-20260910-019; this row certifies routing, not full Goal UX.	FND-20260910-016/017/018; DEC/IMP-20260910-011; whole-app acceptance remains open.	VER-20260910-011; artifacts/astra-audit/2026-09-10/review-outcomes/README.md; 202 API 34, 13 API 37, 368 JVM readiness.
shared.review.outcomes-unavailable	shared	dialog	Selected outcome source failure hides stale rows and preserves context	route:review-outcomes-unavailable	com.whip.app.ReviewAvailabilityUiTest#selectedOutcomesRecoverWithoutLosingTheirSectionOrShowingStaleRows	Verified	e5046e8; r2FrdV empty source destinations; Q3uppH destination context diagnostics	ReviewOutcomes/ReviewOutcomeDetails/ReviewAppRoute; shared WhipRecordItem; exact original routes, mixed recurring Area scope, recreation, scoped source recovery and normalized score. Existing domain calculations retained.	31 personally inspected original images include 12 final phone and 12 final wide states. Consistent reading order and bounded wide column. Original Goal percentage remains FND-20260910-019; this row certifies routing, not full Goal UX.	FND-20260910-016/017/018; DEC/IMP-20260910-011; whole-app acceptance remains open.	VER-20260910-011; artifacts/astra-audit/2026-09-10/review-outcomes/README.md; 202 API 34, 13 API 37, 368 JVM readiness.
shared.review.outcomes-recovered	shared	dialog	Scoped retry restores the selected outcome list	route:review-outcomes-recovered	com.whip.app.ReviewAvailabilityUiTest#selectedOutcomesRecoverWithoutLosingTheirSectionOrShowingStaleRows	Verified	e5046e8; r2FrdV empty source destinations; Q3uppH destination context diagnostics	ReviewOutcomes/ReviewOutcomeDetails/ReviewAppRoute; shared WhipRecordItem; exact original routes, mixed recurring Area scope, recreation, scoped source recovery and normalized score. Existing domain calculations retained.	31 personally inspected original images include 12 final phone and 12 final wide states. Consistent reading order and bounded wide column. Original Goal percentage remains FND-20260910-019; this row certifies routing, not full Goal UX.	FND-20260910-016/017/018; DEC/IMP-20260910-011; whole-app acceptance remains open.	VER-20260910-011; artifacts/astra-audit/2026-09-10/review-outcomes/README.md; 202 API 34, 13 API 37, 368 JVM readiness.
shared.review.partial-sources	shared	dialog	Ready outcomes beside loading and failed sources	route:review-partial-sources	com.whip.app.ReviewAvailabilityUiTest#partialReviewPreservesAvailableOutcomesAndRetriesOnlyUnavailableSources	Verified	622f2e2; BfjnTU controlled-host loading/failed evidence; PBXqUP early capture excluded from settled-state proof	Controlled production Home/Review source transitions, saved-state restoration, current-section retry recipients, honest zero/empty recovery and ready-source correlation continuity pass. Actual Room failure injection/process death not claimed.	Six final original states per API 34/37 personally inspected at 100%; before/diagnostic observations in review.tsv. Phone comparison is scrolled to its result; test Activity system bars are outside production-theme acceptance.	FND-20260910-013; DEC/IMP-20260910-009; WhipNoticeCard reused; complete Review/source journeys remain open	VER-20260910-009; artifacts/astra-audit/2026-09-10/review-availability/README.md; 91 API 34, seven API 37, 364 JVM readiness.
shared.review.sources-recovered	shared	dialog	Review recovers ready outcomes and global evidence after scoped retry	route:review-sources-recovered	com.whip.app.ReviewAvailabilityUiTest#partialReviewPreservesAvailableOutcomesAndRetriesOnlyUnavailableSources	Verified	622f2e2; BfjnTU controlled-host loading/failed evidence; PBXqUP early capture excluded from settled-state proof	Controlled production Home/Review source transitions, saved-state restoration, current-section retry recipients, honest zero/empty recovery and ready-source correlation continuity pass. Actual Room failure injection/process death not claimed.	Six final original states per API 34/37 personally inspected at 100%; before/diagnostic observations in review.tsv. Phone comparison is scrolled to its result; test Activity system bars are outside production-theme acceptance.	FND-20260910-013; DEC/IMP-20260910-009; WhipNoticeCard reused; complete Review/source journeys remain open	VER-20260910-009; artifacts/astra-audit/2026-09-10/review-availability/README.md; 91 API 34, seven API 37, 364 JVM readiness.
shared.review.sources-unavailable	shared	dialog	Incomplete source loading does not become empty history	route:review-sources-unavailable	com.whip.app.ReviewAvailabilityUiTest#incompleteSourcesNeverClaimThereAreNoOutcomes	Verified	622f2e2; BfjnTU controlled-host loading/failed evidence; PBXqUP early capture excluded from settled-state proof	Controlled production Home/Review source transitions, saved-state restoration, current-section retry recipients, honest zero/empty recovery and ready-source correlation continuity pass. Actual Room failure injection/process death not claimed.	Six final original states per API 34/37 personally inspected at 100%; before/diagnostic observations in review.tsv. Phone comparison is scrolled to its result; test Activity system bars are outside production-theme acceptance.	FND-20260910-013; DEC/IMP-20260910-009; WhipNoticeCard reused; complete Review/source journeys remain open	VER-20260910-009; artifacts/astra-audit/2026-09-10/review-availability/README.md; 91 API 34, seven API 37, 364 JVM readiness.
